id,year,month,day,hour,minute,second,volt1,volt2,volt3,volt4,volt5,volt6,temp1,temp2,temp3,temp4,temp5,temp6,elapsed
0,2017,5,29,15,29,8,0.26,0.28,0.27,0.28,0.27,0.27,26.13,27.74,27.1,27.74,26.77,27.1,111.0
1,2017,5,29,15,29,8,0.26,0.28,0.27,0.28,0.27,0.27,26.13,27.74,27.1,27.74,26.77,27.1,111.0
2,2017,5,29,15,29,9,0.26,0.27,0.27,0.27,0.26,0.27,26.13,27.42,27.1,27.42,26.45,27.1,0.0
3,2017,5,29,15,29,10,0.25,0.28,0.27,0.27,0.26,0.27,25.48,27.74,27.1,27.42,26.45,26.77,1.0
4,2017,5,29,15,29,11,0.26,0.27,0.27,0.27,0.26,0.27,25.81,27.42,27.1,27.42,26.45,27.1,2.0
5,2017,5,29,15,29,12,0.26,0.27,0.27,0.27,0.26,0.27,26.13,27.1,27.1,27.42,26.45,27.1,3.0
6,2017,5,29,15,29,13,0.26,0.28,0.27,0.28,0.26,0.27,26.13,27.74,26.77,27.74,26.45,26.77,4.0
7,2017,5,29,15,29,14,0.25,0.28,0.27,0.27,0.26,0.27,25.48,27.74,27.1,27.42,26.45,26.77,5.0
8,2017,5,29,15,29,15,0.26,0.28,0.27,0.27,0.26,0.27,26.13,27.74,27.1,27.42,26.45,27.1,6.0
9,2017,5,29,15,29,16,0.26,0.28,0.27,0.28,0.26,0.27,25.81,27.74,26.77,27.74,26.45,27.1,7.0
10,2017,5,29,15,29,17,0.26,0.27,0.27,0.27,0.26,0.27,26.45,27.42,27.1,27.42,26.45,27.1,8.0
11,2017,5,29,15,29,18,0.26,0.28,0.27,0.28,0.26,0.27,25.81,27.74,26.77,27.74,26.45,27.1,9.0
12,2017,5,29,15,29,19,0.26,0.27,0.27,0.28,0.26,0.27,26.13,27.42,27.1,27.74,26.45,27.1,10.0
13,2017,5,29,15,29,20,0.26,0.27,0.27,0.28,0.26,0.27,26.13,27.42,27.1,27.74,26.45,27.1,11.0
14,2017,5,29,15,29,21,0.26,0.28,0.27,0.28,0.27,0.27,26.13,27.74,26.77,27.74,26.77,27.1,12.0
15,2017,5,29,15,29,22,0.26,0.28,0.27,0.28,0.26,0.27,26.13,27.74,27.1,27.74,26.45,27.1,13.0
16,2017,5,29,15,29,23,0.26,0.28,0.27,0.27,0.27,0.27,26.13,27.74,27.1,27.42,26.77,27.1,14.0
17,2017,5,29,15,29,24,0.26,0.27,0.27,0.27,0.26,0.27,26.13,27.42,27.1,27.42,26.45,27.1,15.0
18,2017,5,29,15,29,25,0.26,0.28,0.27,0.27,0.26,0.27,26.13,27.74,27.1,27.42,26.45,27.1,16.0
19,2017,5,29,15,29,26,0.26,0.27,0.27,0.28,0.26,0.27,26.45,27.42,27.1,27.74,26.45,27.1,17.0
20,2017,5,29,15,29,27,0.26,0.27,0.27,0.27,0.26,0.27,25.81,27.42,26.77,27.42,26.45,27.1,18.0
21,2017,5,29,15,29,28,0.26,0.27,0.27,0.27,0.26,0.27,26.13,27.42,27.1,27.42,26.45,26.77,19.0
22,2017,5,29,15,29,29,0.26,0.28,0.27,0.28,0.26,0.27,26.45,27.74,27.1,27.74,26.45,27.1,20.0
23,2017,5,29,15,29,30,0.26,0.28,0.27,0.27,0.26,0.27,26.45,27.74,27.1,27.42,26.45,27.1,21.0
24,2017,5,29,15,29,31,0.26,0.27,0.27,0.27,0.26,0.27,25.81,27.42,26.77,27.42,26.45,26.77,22.0
25,2017,5,29,15,29,32,0.25,0.28,0.27,0.27,0.26,0.27,25.48,27.74,26.77,27.42,26.45,27.1,23.0
26,2017,5,29,15,29,33,0.26,0.28,0.27,0.28,0.27,0.27,25.81,27.74,27.1,27.74,26.77,27.1,24.0
27,2017,5,29,15,29,34,0.26,0.28,0.27,0.27,0.26,0.27,25.81,27.74,26.77,27.42,26.45,26.77,25.0
28,2017,5,29,15,29,35,0.26,0.28,0.27,0.27,0.26,0.27,26.45,27.74,27.1,27.42,26.45,27.1,26.0
29,2017,5,29,15,29,36,0.25,0.28,0.26,0.27,0.26,0.27,25.48,27.74,26.45,27.42,26.45,26.77,27.0
30,2017,5,29,15,29,37,0.26,0.28,0.27,0.27,0.26,0.27,25.81,27.74,26.77,27.42,26.45,26.77,28.0
31,2017,5,29,15,29,38,0.25,0.27,0.27,0.27,0.26,0.27,25.48,27.42,27.1,27.1,26.45,26.77,29.0
32,2017,5,29,15,29,39,0.25,0.27,0.27,0.27,0.26,0.27,25.48,27.42,26.77,27.42,26.45,26.77,30.0
33,2017,5,29,15,29,40,0.26,0.27,0.27,0.27,0.26,0.27,25.81,27.42,26.77,27.42,26.45,27.1,31.0
34,2017,5,29,15,29,41,0.25,0.27,0.27,0.27,0.26,0.27,25.48,27.42,26.77,27.42,26.45,27.1,32.0
