id,year,month,day,hour,minute,second,volt1,volt2,volt3,volt4,volt5,volt6,temp1,temp2,temp3,temp4,temp5,temp6,elapsed
0,2017,5,26,15,28,34,0.35,0.34,0.33,0.33,0.31,0.32,35.48,34.19,33.23,33.23,30.97,31.61,89.0
1,2017,5,26,15,28,35,0.35,0.34,0.33,0.33,0.31,0.32,35.48,33.55,32.9,32.9,30.97,31.61,0.0
2,2017,5,26,15,28,36,0.35,0.34,0.33,0.33,0.31,0.32,35.16,33.87,33.23,33.23,30.97,31.61,1.0
3,2017,5,26,15,28,37,0.35,0.34,0.33,0.33,0.31,0.32,35.16,34.19,32.9,32.58,30.97,31.61,2.0
4,2017,5,26,15,28,38,0.35,0.34,0.33,0.33,0.31,0.32,35.16,33.87,33.23,33.23,30.97,31.61,3.0
5,2017,5,26,15,28,39,0.35,0.34,0.33,0.32,0.31,0.32,35.48,33.87,33.23,32.26,30.97,31.61,4.0
6,2017,5,26,15,28,40,0.35,0.34,0.33,0.33,0.31,0.31,35.48,33.55,33.23,33.23,30.97,31.29,5.0
7,2017,5,26,15,28,41,0.35,0.34,0.33,0.33,0.31,0.32,35.48,33.87,33.23,33.23,30.97,31.61,6.0
8,2017,5,26,15,28,42,0.35,0.34,0.33,0.33,0.31,0.32,35.48,33.87,33.23,32.9,30.97,31.61,7.0
9,2017,5,26,15,28,43,0.35,0.34,0.33,0.33,0.31,0.32,35.48,33.87,33.23,33.23,30.97,31.61,8.0
10,2017,5,26,15,28,44,0.35,0.34,0.33,0.34,0.31,0.32,35.16,34.19,32.9,33.55,30.97,31.61,9.0
11,2017,5,26,15,28,45,0.35,0.34,0.33,0.33,0.31,0.32,35.48,33.87,33.23,33.23,30.97,31.61,10.0
12,2017,5,26,15,28,46,0.35,0.34,0.33,0.34,0.31,0.32,35.16,33.87,32.9,33.55,30.97,31.94,11.0
13,2017,5,26,15,28,47,0.35,0.34,0.33,0.33,0.31,0.32,35.16,34.19,33.23,32.9,30.97,31.61,12.0
14,2017,5,26,15,28,48,0.35,0.34,0.33,0.33,0.31,0.32,35.48,33.87,33.23,32.9,30.97,31.61,13.0
15,2017,5,26,15,28,49,0.35,0.34,0.33,0.33,0.31,0.32,35.48,34.19,33.23,33.23,30.97,31.61,14.0
16,2017,5,26,15,28,50,0.35,0.34,0.33,0.33,0.31,0.32,35.48,34.19,32.9,33.23,30.97,31.61,15.0
17,2017,5,26,15,28,51,0.35,0.34,0.33,0.33,0.31,0.31,35.48,34.19,32.9,32.58,30.97,31.29,16.0
18,2017,5,26,15,28,52,0.35,0.34,0.33,0.33,0.31,0.32,35.48,33.87,33.23,32.9,30.97,31.61,17.0
19,2017,5,26,15,28,53,0.35,0.34,0.33,0.33,0.31,0.32,35.48,34.19,32.9,32.9,30.97,31.61,18.0
20,2017,5,26,15,28,54,0.35,0.34,0.33,0.33,0.31,0.31,35.48,33.87,33.23,32.58,30.97,30.97,19.0
21,2017,5,26,15,28,55,0.35,0.34,0.33,0.33,0.31,0.32,35.48,33.87,33.23,33.23,30.97,31.61,20.0
22,2017,5,26,15,28,56,0.35,0.34,0.33,0.32,0.31,0.31,35.16,34.19,32.9,31.94,30.97,31.29,21.0
23,2017,5,26,15,28,57,0.35,0.34,0.33,0.33,0.31,0.31,35.16,33.87,33.23,33.23,30.97,31.29,22.0
24,2017,5,26,15,28,58,0.35,0.34,0.33,0.33,0.31,0.31,34.84,33.87,33.23,33.23,30.97,31.29,23.0
25,2017,5,26,15,28,59,0.35,0.34,0.33,0.33,0.31,0.31,35.48,33.55,32.9,32.9,30.97,31.29,24.0
