id,year,month,day,hour,minute,second,volt1,volt2,volt3,volt4,volt5,volt6,temp1,temp2,temp3,temp4,temp5,temp6,elapsed
0,2017,5,31,14,33,13,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.45,25.81,26.13,25.16,25.48,18.0
1,2017,5,31,14,33,14,0.25,0.26,0.26,0.26,0.25,0.25,24.52,26.13,25.81,26.13,24.84,25.48,0.0
2,2017,5,31,14,33,15,0.25,0.26,0.26,0.26,0.25,0.25,24.52,26.45,25.81,25.81,24.84,25.48,1.0
3,2017,5,31,14,33,16,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.45,25.81,25.81,24.84,25.16,2.0
4,2017,5,31,14,33,17,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,26.13,24.52,25.48,3.0
5,2017,5,31,14,33,18,0.25,0.26,0.25,0.26,0.25,0.25,25.16,26.13,25.48,25.81,24.84,25.48,4.0
6,2017,5,31,14,33,19,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,26.13,24.84,25.48,5.0
7,2017,5,31,14,33,20,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,26.13,24.52,25.48,6.0
8,2017,5,31,14,33,21,0.25,0.26,0.25,0.26,0.25,0.25,25.16,26.13,25.48,26.13,24.84,24.84,7.0
9,2017,5,31,14,33,22,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,26.13,24.84,24.84,8.0
10,2017,5,31,14,33,23,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,25.81,24.84,25.16,9.0
11,2017,5,31,14,33,24,0.25,0.26,0.26,0.26,0.25,0.25,25.16,25.81,25.81,25.81,24.84,25.16,10.0
12,2017,5,31,14,33,25,0.25,0.26,0.25,0.26,0.25,0.25,24.84,26.13,25.16,26.13,24.52,25.48,11.0
13,2017,5,31,14,33,26,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,26.13,24.52,25.48,12.0
14,2017,5,31,14,33,27,0.25,0.26,0.25,0.25,0.25,0.25,24.84,26.13,25.16,25.48,24.84,25.16,13.0
15,2017,5,31,14,33,28,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.45,25.81,25.81,24.84,25.16,14.0
16,2017,5,31,14,33,29,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,25.81,24.52,25.16,15.0
17,2017,5,31,14,33,30,0.25,0.26,0.25,0.25,0.25,0.25,25.16,26.13,25.16,25.48,24.84,24.84,16.0
18,2017,5,31,14,33,31,0.24,0.25,0.25,0.25,0.24,0.25,24.19,25.16,25.16,25.48,24.19,24.84,17.0
19,2017,5,31,14,33,32,0.25,0.26,0.25,0.25,0.25,0.25,25.16,26.13,25.48,25.48,24.84,25.16,18.0
20,2017,5,31,14,33,33,0.25,0.26,0.25,0.25,0.25,0.25,25.16,26.13,25.48,25.48,24.84,25.16,19.0
21,2017,5,31,14,33,34,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,25.81,24.84,25.16,20.0
22,2017,5,31,14,33,35,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,26.13,24.52,25.48,21.0
23,2017,5,31,14,33,36,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,26.13,24.84,25.48,22.0
24,2017,5,31,14,33,37,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,26.13,24.84,25.16,23.0
25,2017,5,31,14,33,38,0.25,0.26,0.26,0.26,0.25,0.25,25.16,25.81,25.81,26.13,24.52,25.48,24.0
26,2017,5,31,14,33,39,0.25,0.26,0.26,0.26,0.25,0.26,25.16,26.13,25.81,25.81,24.84,25.81,25.0
27,2017,5,31,14,33,40,0.25,0.26,0.26,0.26,0.25,0.25,25.16,25.81,25.81,25.81,24.84,25.48,26.0
28,2017,5,31,14,33,41,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,25.81,24.84,25.48,27.0
29,2017,5,31,14,33,42,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,25.81,24.84,25.16,28.0
30,2017,5,31,14,33,43,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,26.13,24.52,25.48,29.0
31,2017,5,31,14,33,44,0.25,0.26,0.26,0.26,0.25,0.25,24.84,25.81,25.81,25.81,24.52,25.48,30.0
32,2017,5,31,14,33,45,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.45,25.81,25.81,24.84,25.48,31.0
33,2017,5,31,14,33,46,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,26.13,24.84,25.48,32.0
34,2017,5,31,14,33,47,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,26.13,24.84,25.48,33.0
35,2017,5,31,14,33,48,0.25,0.26,0.26,0.26,0.25,0.25,24.84,25.81,25.81,26.13,24.52,25.48,34.0
36,2017,5,31,14,33,49,0.25,0.26,0.26,0.26,0.25,0.25,24.52,26.13,25.81,26.13,24.84,25.16,35.0
37,2017,5,31,14,33,50,0.25,0.26,0.25,0.26,0.25,0.25,24.52,26.13,25.48,25.81,24.52,24.84,36.0
38,2017,5,31,14,33,51,0.25,0.26,0.25,0.26,0.25,0.25,24.84,26.13,25.48,25.81,24.84,25.16,37.0
39,2017,5,31,14,33,52,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,26.13,24.52,25.48,38.0
40,2017,5,31,14,33,53,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,25.81,24.84,25.48,39.0
41,2017,5,31,14,33,54,0.25,0.26,0.25,0.26,0.25,0.25,24.84,26.13,25.48,26.13,25.16,25.16,40.0
42,2017,5,31,14,33,55,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,26.13,24.52,25.16,41.0
43,2017,5,31,14,33,56,0.25,0.26,0.25,0.26,0.25,0.25,25.16,25.81,25.48,25.81,24.84,25.48,42.0
44,2017,5,31,14,33,57,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,26.13,24.84,25.16,43.0
45,2017,5,31,14,33,58,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,26.13,24.52,25.48,44.0
46,2017,5,31,14,33,59,0.25,0.26,0.25,0.26,0.25,0.25,25.16,26.13,25.48,25.81,24.84,25.16,45.0
47,2017,5,31,14,34,0,0.25,0.26,0.25,0.26,0.25,0.25,25.16,26.45,25.48,25.81,24.52,25.16,46.0
48,2017,5,31,14,34,1,0.25,0.26,0.26,0.26,0.25,0.25,25.16,26.13,25.81,25.81,24.84,25.48,47.0
49,2017,5,31,14,34,2,0.25,0.26,0.26,0.26,0.25,0.25,24.84,26.13,25.81,25.81,24.52,25.16,48.0
50,2017,5,31,14,34,3,0.25,0.26,0.25,0.26,0.25,0.25,24.84,25.81,25.48,26.13,24.52,25.48,49.0
51,2017,5,31,14,34,4,0.25,0.26,0.25,0.26,0.25,0.25,24.52,26.13,25.48,25.81,24.52,25.16,50.0
